NULL|138480368|72024|C|NewRez LLC|New Residential Mortgage LLC|NULL|6.375|6.375|240000.0|NULL|240000.0|360|62024|82024|0.0|360.0|360.0|72054.0|38|38|2|32|792.0|804.0|N|P|CO|1|P|VA|16820|229|NULL|FRM|N|N|NULL|NULL|0|XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX00|N|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|N|NULL|NULL|NULL|NULL|7|NULL|N|NULL|NULL|NULL|NULL|W|N|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|7|N|NULL|NULL|7|NULL|NULL|7|NULL
NULL|138480368|82024|C|NewRez LLC|New Residential Mortgage LLC|NULL|6.375|6.375|240000.0|NULL|240000.0|360|62024|82024|1.0|359.0|359.0|72054.0|38|38|2|32|792.0|804.0|N|P|CO|1|P|VA|16820|229|NULL|FRM|N|N|NULL|NULL|0|XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0000|N|NULL|NULL|NULL|NULL|NULL|NULL|222.29|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|Y|NULL|NULL|NULL|NULL|7|NULL|N|NULL|NULL|NULL|NULL|W|N|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|7|N|NULL|NULL|7|NULL|NULL|7|NULL
NULL|138480368|92024|C|NewRez LLC|New Residential Mortgage LLC|NULL|6.375|6.375|240000.0|NULL|240000.0|360|62024|82024|2.0|358.0|358.0|72054.0|38|38|2|32|792.0|804.0|N|P|CO|1|P|VA|16820|229|NULL|FRM|N|N|NULL|NULL|0|XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX000000|N|NULL|NULL|NULL|NULL|NULL|NULL|223.47|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|N|NULL|NULL|NULL|NULL|7|NULL|N|NULL|NULL|NULL|NULL|W|N|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|7|N|NULL|NULL|7|NULL|NULL|7|NULL
NULL|138480369|72024|R|DHI Mortgage Company, Ltd.|Other|NULL|6.625|6.625|168000.0|NULL|168000.0|360|62024|82024|0.0|360.0|360.0|72054.0|70|70|1|17|797.0|NULL|N|P|PU|1|I|NC|49180|272|NULL|FRM|N|N|NULL|NULL|0|XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX00|N|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|N|NULL|NULL|NULL|NULL|7|NULL|N|NULL|NULL|NULL|NULL|A|N|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|7|N|NULL|NULL|7|NULL|NULL|7|NULL
NULL|138480369|82024|R|DHI Mortgage Company, Ltd.|Other|NULL|6.625|6.625|168000.0|NULL|168000.0|360|62024|82024|1.0|359.0|359.0|72054.0|70|70|1|17|797.0|NULL|N|P|PU|1|I|NC|49180|272|NULL|FRM|N|N|NULL|NULL|0|XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0000|N|NULL|NULL|NULL|NULL|NULL|NULL|148.22|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|N|NULL|NULL|NULL|NULL|7|NULL|N|NULL|NULL|NULL|NULL|A|N|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|7|N|NULL|NULL|7|NULL|NULL|7|NULL
NULL|138480369|92024|R|DHI Mortgage Company, Ltd.|Other|NULL|6.625|6.625|168000.0|NULL|168000.0|360|62024|82024|2.0|358.0|358.0|72054.0|70|70|1|17|797.0|NULL|N|P|PU|1|I|NC|49180|272|NULL|FRM|N|N|NULL|NULL|0|XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX000000|N|NULL|NULL|NULL|NULL|NULL|NULL|149.04|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|N|NULL|NULL|NULL|NULL|7|NULL|N|NULL|NULL|NULL|NULL|A|N|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|7|N|NULL|NULL|7|NULL|NULL|7|NULL
NULL|138480370|72024|R|Pulte Mortgage, L.L.C.|Freedom Mortgage Corp.|NULL|6.5|6.5|387000.0|NULL|387000.0|360|72024|92024|-1.0|361.0|360.0|82054.0|53|53|2|43|764.0|759.0|N|P|PU|1|P|SC|16700|294|NULL|FRM|N|N|NULL|NULL|0|XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX00|N|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|N|NULL|NULL|NULL|NULL|7|NULL|N|NULL|NULL|NULL|NULL|A|N|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|7|N|NULL|NULL|7|NULL|NULL|7|NULL
NULL|138480370|82024|R|Pulte Mortgage, L.L.C.|Freedom Mortgage Corp.|NULL|6.5|6.5|387000.0|NULL|387000.0|360|72024|92024|0.0|360.0|360.0|82054.0|53|53|2|43|764.0|759.0|N|P|PU|1|P|SC|16700|294|NULL|FRM|N|N|NULL|NULL|0|XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX0000|N|NULL|NULL|NULL|NULL|NULL|NULL|0.0|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|N|NULL|NULL|NULL|NULL|7|NULL|N|NULL|NULL|NULL|NULL|A|N|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|7|N|NULL|NULL|7|NULL|NULL|7|NULL
NULL|138480370|92024|R|Other|Freedom Mortgage Corp.|NULL|6.5|6.5|387000.0|NULL|387000.0|360|72024|92024|1.0|359.0|359.0|82054.0|53|53|2|43|764.0|759.0|N|P|PU|1|P|SC|16700|294|NULL|FRM|N|N|NULL|NULL|0|XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX000000|N|NULL|NULL|NULL|NULL|NULL|NULL|349.85|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|N|NULL|NULL|NULL|NULL|7|NULL|N|NULL|NULL|NULL|NULL|A|N|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|7|N|NULL|NULL|7|NULL|NULL|7|NULL
NULL|138480371|72024|R|Movement Mortgage, LLC|Movement Mortgage, LLC|NULL|6.625|6.625|350000.0|NULL|350000.0|360|62024|82024|0.0|360.0|359.0|72054.0|70|70|2|37|796.0|783.0|Y|P|SF|1|P|PA|37980|191|NULL|FRM|N|N|NULL|NULL|0|XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX00|N|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|N|NULL|NULL|NULL|NULL|7|NULL|N|NULL|NULL|NULL|NULL|A|N|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|7|N|NULL|NULL|7|NULL|NULL|7|NULL
